,TeamNameSpelling,TeamID
0,a&m-corpus chris,1394
1,a&m-corpus christi,1394
2,abilene chr,1101
3,abilene christian,1101
4,abilene-christian,1101
5,air force,1102
6,air-force,1102
7,akron,1103
8,alabama,1104
9,alabama a&m,1105
10,alabama st,1106
11,alabama st.,1106
12,alabama state,1106
13,alabama-am,1105
14,alabama-birmingham,1412
15,alabama-st,1106
16,alabama-state,1106
17,albany,1107
18,albany (ny),1107
19,albany ny,1107
20,albany-ny,1107
21,alcorn,1108
22,alcorn st,1108
23,alcorn st.,1108
24,alcorn state,1108
25,alcorn-state,1108
26,alliant international,1109
27,alliant intl,1109
28,am-corpus-chris,1394
29,american,1110
30,american u.,1110
31,american univ,1110
32,american university,1110
33,american-university,1110
34,appalachian st,1111
35,appalachian st.,1111
36,appalachian state,1111
37,appalachian-st,1111
38,appalachian-state,1111
39,arizona,1112
40,arizona st,1113
41,arizona st.,1113
42,arizona state,1113
43,arizona-st,1113
44,arizona-state,1113
45,ark little rock,1114
46,ark pine bluff,1115
47,ark-pine-bluff,1115
48,ark.-pine bluff,1115
49,arkansas,1116
50,arkansas st,1117
51,arkansas st.,1117
52,arkansas state,1117
53,arkansas-little rock,1114
54,arkansas-little-rock,1114
55,arkansas-pine bluff,1115
56,arkansas-pine-bluff,1115
57,arkansas-st,1117
58,arkansas-state,1117
59,armstrong,1118
60,armstrong st,1118
61,army,1119
62,army west point,1119
63,army-west-point,1119
64,auburn,1120
65,augusta,1121
66,augusta state,1121
67,austin peay,1122
68,austin-peay,1122
69,bakersfield,1167
70,ball st,1123
71,ball st.,1123
72,ball state,1123
73,ball-st,1123
74,ball-state,1123
75,baylor,1124
76,bellarmine,1468
77,belmont,1125
78,bethune-cookman,1126
79,binghamton,1127
80,birmingham so,1128
81,birmingham southern,1128
82,birmingham-southern,1128
83,boise st,1129
84,boise st.,1129
85,boise state,1129
86,boise-st,1129
87,boise-state,1129
88,boston,1131
89,boston college,1130
90,boston u,1131
91,boston u.,1131
92,boston univ,1131
93,boston university,1131
94,boston-college,1130
95,boston-u,1131
96,boston-university,1131
97,bowling green,1132
98,bowling green state,1132
99,bowling-green,1132
100,bowling-green-state,1132
101,bradley,1133
102,brigham young,1140
103,brigham-young,1140
104,brooklyn,1134
105,brown,1135
106,bryant,1136
107,bryant university,1136
108,bucknell,1137
109,buffalo,1138
110,butler,1139
111,byu,1140
112,c michigan,1141
113,cal baptist,1465
114,cal poly,1142
115,cal poly slo,1142
116,cal riverside,1415
117,cal st. fullerton,1168
118,cal st. northridge,1169
119,cal state bakersfield,1167
120,cal state fullerton,1168
121,cal state northridge,1169
122,cal state-fullerton,1168
123,cal-poly,1142
124,cal-st-fullerton,1168
125,cal-state-bakersfield,1167
126,cal-state-fullerton,1168
127,cal-state-northridge,1169
128,cal. state - bakersfield,1167
129,california,1143
130,california baptist,1465
131,california-davis,1413
132,california-irvine,1414
133,california-riverside,1415
134,california-santa barbara,1364
135,california-santa-barbara,1364
136,campbell,1144
137,canisius,1145
138,cent arkansas,1146
139,centenary,1147
140,centenary (la),1147
141,centenary-la,1147
142,central ark.,1146
143,central arkansas,1146
144,central conn,1148
145,central conn. st.,1148
146,central connecticut,1148
147,central connecticut state,1148
148,central florida,1416
149,central florida(ucf),1416
150,central mich.,1141
151,central michigan,1141
152,central-ark,1146
153,central-arkansas,1146
154,central-conn-st,1148
155,central-connecticut-state,1148
156,central-florida,1416
157,central-mich,1141
158,central-michigan,1141
159,charleston,1158
160,charleston so,1149
161,charleston so.,1149
162,charleston southern,1149
163,charleston-so,1149
164,charleston-southern,1149
165,charlotte,1150
166,chattanooga,1151
167,chicago st,1152
168,chicago st.,1152
169,chicago state,1152
170,chicago-st,1152
171,chicago-state,1152
172,cincinnati,1153
173,citadel,1154
174,clemson,1155
175,cleveland st,1156
176,cleveland st.,1156
177,cleveland state,1156
178,cleveland-st,1156
179,cleveland-state,1156
180,coastal car,1157
181,coastal caro.,1157
182,coastal carolina,1157
183,coastal-caro,1157
184,coastal-carolina,1157
185,col charleston,1158
186,col-of-charleston,1158
187,col. of charleston,1158
188,colgate,1159
189,college of charlesto,1158
190,college of charleston,1158
191,college-of-charleston,1158
192,colorado,1160
193,colorado st,1161
194,colorado st.,1161
195,colorado state,1161
196,colorado-st,1161
197,colorado-state,1161
198,columbia,1162
199,connecticut,1163
200,coppin st,1164
201,coppin st.,1164
202,coppin state,1164
203,coppin-st,1164
204,coppin-state,1164
205,cornell,1165
206,creighton,1166
207,cs bakersfield,1167
208,cs fullerton,1168
209,cs northridge,1169
210,cs sacramento,1170
211,csu bakersfield,1167
212,csu northridge,1169
213,csu-bakersfield,1167
214,csun,1169
215,dartmouth,1171
216,davidson,1172
217,dayton,1173
218,delaware,1174
219,delaware st,1175
220,delaware st.,1175
221,delaware state,1175
222,delaware-st,1175
223,delaware-state,1175
224,denver,1176
225,depaul,1177
226,detroit,1178
227,detroit mercy,1178
228,detroit-mercy,1178
229,dixie st,1469
230,Dixie State,1469
231,drake,1179
232,drexel,1180
233,duke,1181
234,duquesne,1182
235,e illinois,1183
236,e kentucky,1184
237,e michigan,1185
238,e washington,1186
239,east carolina,1187
240,east tenn. st.,1190
241,east tennessee st.,1190
242,east tennessee state,1190
243,east-carolina,1187
244,east-tennessee-state,1190
245,eastern ill.,1183
246,eastern illinois,1183
247,eastern kentucky,1184
248,eastern ky.,1184
249,eastern mich.,1185
250,eastern michigan,1185
251,eastern wash.,1186
252,eastern washington,1186
253,eastern-ill,1183
254,eastern-illinois,1183
255,eastern-kentucky,1184
256,eastern-ky,1184
257,eastern-mich,1185
258,eastern-michigan,1185
259,eastern-wash,1186
260,eastern-washington,1186
261,edwardsville,1188
262,elon,1189
263,elon university,1189
264,estern carolina,1441
265,etsu,1190
266,evansville,1191
267,f dickinson,1192
268,fairfield,1193
269,fairleigh dickinson,1192
270,fairleigh-dickinson,1192
271,fgcu,1195
272,fiu,1198
273,fl atlantic,1194
274,fl gulf coast,1195
275,fla-atlantic,1194
276,fla. atlantic,1194
277,florida,1196
278,florida a&m,1197
279,florida atlantic,1194
280,florida gulf coast,1195
281,florida internationa,1198
282,florida international,1198
283,florida intl,1198
284,florida st,1199
285,florida st.,1199
286,florida state,1199
287,florida-am,1197
288,florida-atlantic,1194
289,florida-gulf-coast,1195
290,florida-international,1198
291,florida-st,1199
292,florida-state,1199
293,fordham,1200
294,fort wayne,1236
295,fort wayne(ipfw),1236
296,fort-wayne,1236
297,fresno st,1201
298,fresno st.,1201
299,fresno state,1201
300,fresno-st,1201
301,fresno-state,1201
302,furman,1202
303,g washington,1203
304,ga southern,1204
305,ga-southern,1204
306,ga. southern,1204
307,gardner webb,1205
308,gardner-webb,1205
309,george mason,1206
310,george washington,1203
311,george-mason,1206
312,george-washington,1203
313,georgetown,1207
314,georgia,1208
315,georgia southern,1204
316,georgia st,1209
317,georgia st.,1209
318,georgia state,1209
319,georgia tech,1210
320,georgia-southern,1204
321,georgia-st,1209
322,georgia-state,1209
323,georgia-tech,1210
324,gonzaga,1211
325,grambling,1212
326,grambling st.,1212
327,grambling state,1212
328,grambling-state,1212
329,grand canyon,1213
330,grand-canyon,1213
331,green bay,1453
332,green-bay,1453
333,hampton,1214
334,hardin-simmons,1215
335,hartford,1216
336,harvard,1217
337,hawai'i,1218
338,hawaii,1218
339,high point,1219
340,high-point,1219
341,hofstra,1220
342,holy cross,1221
343,holy-cross,1221
344,houston,1222
345,houston bap,1223
346,houston baptist,1223
347,houston-baptist,1223
348,howard,1224
349,idaho,1225
350,idaho st,1226
351,idaho st.,1226
352,idaho state,1226
353,idaho-st,1226
354,idaho-state,1226
355,il chicago,1227
356,ill-chicago,1227
357,ill.-chicago,1227
358,illinois,1228
359,illinois st,1229
360,illinois st.,1229
361,illinois state,1229
362,illinois-chicago,1227
363,illinois-st,1229
364,illinois-state,1229
365,incarnate word,1230
366,incarnate-word,1230
367,indiana,1231
368,indiana - purdue,1237
369,indiana st,1232
370,indiana st.,1232
371,indiana state,1232
372,indiana-st,1232
373,indiana-state,1232
374,iona,1233
375,iowa,1234
376,iowa st,1235
377,iowa st.,1235
378,iowa state,1235
379,iowa-st,1235
380,iowa-state,1235
381,ipfw,1236
382,iupu - ft. wayne,1236
383,iupu-fort wayne,1236
384,iupu-fort-wayne,1236
385,iupui,1237
386,jackson st,1238
387,jackson st.,1238
388,jackson state,1238
389,jackson-st,1238
390,jackson-state,1238
391,jacksonville,1239
392,jacksonville st,1240
393,jacksonville st.,1240
394,jacksonville state,1240
395,jacksonville-st,1240
396,jacksonville-state,1240
397,james madison,1241
398,james-madison,1241
399,kansas,1242
400,kansas st,1243
401,kansas st.,1243
402,kansas state,1243
403,kansas-st,1243
404,kansas-state,1243
405,kennesaw,1244
406,kennesaw st.,1244
407,kennesaw state,1244
408,kennesaw-st,1244
409,kennesaw-state,1244
410,kent,1245
411,kent st.,1245
412,kent state,1245
413,kent-st,1245
414,kent-state,1245
415,kentucky,1246
416,la salle,1247
417,la-monroe,1419
418,la-salle,1247
419,la.-lafayette,1418
420,la.-monroe,1419
421,lafayette,1248
422,lamar,1249
423,lamar university,1249
424,lamar-university,1249
425,lehigh,1250
426,liberty,1251
427,lipscomb,1252
428,little rock,1114
429,little-rock,1114
430,liu brooklyn,1254
431,liu-brooklyn,1254
432,long beach st,1253
433,long beach st.,1253
434,long beach state,1253
435,long island,1254
436,long island university,1254
437,long-beach-st,1253
438,long-beach-state,1253
439,long-island,1254
440,long-island-university,1254
441,longbeach state,1253
442,longwood,1255
443,louisiana,1418
444,louisiana state,1261
445,louisiana tech,1256
446,louisiana-lafayette,1418
447,louisiana-monroe,1419
448,louisiana-state,1261
449,louisiana-tech,1256
450,louisville,1257
451,loy marymount,1258
452,loyola (il),1260
453,loyola (md),1259
454,loyola chicago,1260
455,loyola maryland,1259
456,loyola marymount,1258
457,loyola md,1259
458,loyola-c,1260
459,loyola-chicago,1260
460,loyola-il,1260
461,loyola-maryland,1259
462,loyola-marymount,1258
463,loyola-md,1259
464,lsu,1261
465,ma lowell,1262
466,maine,1263
467,manhattan,1264
468,marist,1265
469,marquette,1266
470,marshall,1267
471,maryland,1268
472,maryland - e. shore,1271
473,maryland-baltimore county,1420
474,maryland-baltimore-county,1420
475,maryland-eastern shore,1271
476,maryland-eastern-shore,1271
477,massachusetts,1269
478,massachusetts lowell,1262
479,massachusetts-lowell,1262
480,mcneese,1270
481,mcneese st,1270
482,mcneese st.,1270
483,mcneese state,1270
484,mcneese-state,1270
485,md baltimore co,1420
486,md baltimore cty,1420
487,md e shore,1271
488,md. eastern shore,1271
489,memphis,1272
490,mercer,1273
491,merrimack,1467
492,miami (fl),1274
493,miami (fla.),1274
494,miami (oh),1275
495,miami (ohio),1275
496,miami - florida,1274
497,miami fl,1274
498,miami oh,1275
499,miami-fl,1274
500,miami-florida,1274
501,miami-oh,1275
502,miami-ohio,1275
503,michigan,1276
504,michigan st,1277
505,michigan st.,1277
506,michigan state,1277
507,michigan-st,1277
508,michigan-state,1277
509,middle tenn st,1292
510,middle tenn st.,1292
511,middle tenn.,1292
512,middle tennessee,1292
513,middle tennessee st.,1292
514,middle tennessee state,1292
515,middle-tenn,1292
516,middle-tennessee,1292
517,middle-tennessee-state,1292
518,milwaukee,1454
519,minnesota,1278
520,miss valley st.,1290
521,mississippi,1279
522,mississippi st,1280
523,mississippi st.,1280
524,mississippi state,1280
525,mississippi val.,1290
526,mississippi valley state,1290
527,mississippi-st,1280
528,mississippi-state,1280
529,mississippi-val,1290
530,mississippi-valley-state,1290
531,missouri,1281
532,missouri kc,1282
533,missouri st,1283
534,missouri st.,1283
535,missouri state,1283
536,missouri-kansas city,1282
537,missouri-kansas-city,1282
538,missouri-st,1283
539,missouri-state,1283
540,mo kansas city,1282
541,monmouth,1284
542,monmouth nj,1284
543,monmouth-nj,1284
544,montana,1285
545,montana st,1286
546,montana st.,1286
547,montana state,1286
548,montana-st,1286
549,montana-state,1286
550,morehead st,1287
551,morehead st.,1287
552,morehead state,1287
553,morehead-st,1287
554,morehead-state,1287
555,morgan st,1288
556,morgan st.,1288
557,morgan state,1288
558,morgan-st,1288
559,morgan-state,1288
560,morris brown,1289
561,morris-brown,1289
562,Mount Saint Mary`s,1291
563,mount st. mary's,1291
564,mount st. marys,1291
565,mount-st-marys,1291
566,ms valley st,1290
567,ms valley state,1290
568,mt st mary's,1291
569,mt st. mary's,1291
570,mt-st-marys,1291
571,mt. st. mary's,1291
572,mt. st. mary`s,1291
573,mtsu,1292
574,murray st,1293
575,murray st.,1293
576,murray state,1293
577,murray-st,1293
578,murray-state,1293
579,mvsu(miss. valley st,1290
580,n colorado,1294
581,n dakota st,1295
582,n illinois,1296
583,n kentucky,1297
584,n. carolina a&t,1299
585,n.c. a&t,1299
586,n.c. asheville,1421
587,n.c. central,1300
588,n.c. state,1301
589,n.j.i.t.,1312
590,navy,1298
591,nc a&t,1299
592,nc asheville,1421
593,nc central,1300
594,nc charlotte,1150
595,nc greensboro,1422
596,nc state,1301
597,nc wilmington,1423
598,nc-at,1299
599,nc-central,1300
600,nc-greensboro,1422
601,nc-state,1301
602,nc-wilmington,1423
603,ne illinois,1302
604,ne omaha,1303
605,nebraska,1304
606,nebraska omaha,1303
607,nebraska-omaha,1303
608,nevada,1305
609,nevada-las vegas,1424
610,nevada-las-vegas,1424
611,new hampshire,1306
612,new jersey tech,1312
613,new mexico,1307
614,new mexico st,1308
615,new mexico st.,1308
616,new mexico state,1308
617,new orleans,1309
618,new-hampshire,1306
619,new-jersey-tech,1312
620,new-mexico,1307
621,new-mexico-st,1308
622,new-mexico-state,1308
623,new-orleans,1309
624,neworleans,1309
625,niagara,1310
626,nicholls,1311
627,nicholls st,1311
628,nicholls st.,1311
629,nicholls state,1311
630,nicholls-st,1311
631,nicholls-state,1311
632,njit,1312
633,no.carolina a&t,1299
634,norfolk st,1313
635,norfolk st.,1313
636,norfolk state,1313
637,norfolk-st,1313
638,norfolk-state,1313
639,north ala.,1466
640,north alabama,1466
641,north carolina,1314
642,north carolina a&t,1299
643,north carolina central,1300
644,north carolina st.,1301
645,north carolina state,1301
646,north carolina-asheville,1421
647,north carolina-greensboro,1422
648,north carolina-wilmington,1423
649,north dakota,1315
650,north dakota st.,1295
651,north dakota state,1295
652,north florida,1316
653,north texas,1317
654,north-carolina,1314
655,north-carolina-asheville,1421
656,north-carolina-at,1299
657,north-carolina-central,1300
658,north-carolina-charlotte,1150
659,north-carolina-greensboro,1422
660,north-carolina-st,1301
661,north-carolina-state,1301
662,north-carolina-wilmington,1423
663,north-dakota,1315
664,north-dakota-st,1295
665,north-dakota-state,1295
666,north-florida,1316
667,north-texas,1317
668,northeastern,1318
669,northeastern illinois,1302
670,northern ariz.,1319
671,northern arizona,1319
672,northern colo.,1294
673,northern colorado,1294
674,northern ill.,1296
675,northern illinois,1296
676,northern iowa,1320
677,northern kentucky,1297
678,northern ky.,1297
679,northern-ariz,1319
680,northern-arizona,1319
681,northern-colo,1294
682,northern-colorado,1294
683,northern-ill,1296
684,northern-illinois,1296
685,northern-iowa,1320
686,northern-kentucky,1297
687,northern-ky,1297
688,northwestern,1321
689,northwestern la,1322
690,northwestern st.,1322
691,northwestern state,1322
692,northwestern-st,1322
693,northwestern-state,1322
694,notre dame,1323
695,notre-dame,1323
696,oakland,1324
697,ohio,1325
698,ohio st,1326
699,ohio st.,1326
700,ohio state,1326
701,ohio-st,1326
702,ohio-state,1326
703,okla city,1327
704,oklahoma,1328
705,oklahoma city,1327
706,oklahoma st,1329
707,oklahoma st.,1329
708,oklahoma state,1329
709,oklahoma-st,1329
710,oklahoma-state,1329
711,old dominion,1330
712,old-dominion,1330
713,ole miss,1279
714,ole-miss,1279
715,omaha,1303
716,oral roberts,1331
717,oral-roberts,1331
718,oregon,1332
719,oregon st,1333
720,oregon st.,1333
721,oregon state,1333
722,oregon-st,1333
723,oregon-state,1333
724,pacific,1334
725,penn,1335
726,penn st,1336
727,penn st.,1336
728,penn state,1336
729,penn-st,1336
730,penn-state,1336
731,pennsylvania,1335
732,pepperdine,1337
733,pfw,1236
734,pitt,1338
735,pittsburgh,1338
736,portland,1339
737,portland st,1340
738,portland st.,1340
739,portland state,1340
740,portland-st,1340
741,portland-state,1340
742,prairie view,1341
743,prairie view a&m,1341
744,prairie-view,1341
745,prairie-view-am,1341
746,presbyterian,1342
747,princeton,1343
748,providence,1344
749,purdue,1345
750,purdue fort wayne,1236
751,quinnipiac,1346
752,radford,1347
753,rhode island,1348
754,rhode-island,1348
755,rice,1349
756,richmond,1350
757,rider,1351
758,robert morris,1352
759,robert-morris,1352
760,rutgers,1353
761,s carolina st,1354
762,s carolina state,1354
763,s dakota st,1355
764,s illinois,1356
765,sacramento st.,1170
766,sacramento state,1170
767,sacramento-st,1170
768,sacramento-state,1170
769,sacred heart,1357
770,sacred-heart,1357
771,Saint Bonaventure,1382
772,Saint Francis (NY),1383
773,saint francis (pa),1384
774,Saint John`s,1385
775,saint joseph's,1386
776,saint joseph`s,1386
777,saint josephs,1386
778,saint louis,1387
779,saint mary's,1388
780,saint mary's (ca),1388
781,Saint Mary`s,1388
782,saint peter's,1389
783,saint peter`s,1389
784,saint peters,1389
785,Saint Thomas (Minn.),1472
786,saint-francis-pa,1384
787,saint-josephs,1386
788,saint-louis,1387
789,saint-marys,1388
790,saint-marys-ca,1388
791,saint-peters,1389
792,saintlouis,1387
793,Sam Houston,1358
794,sam houston st,1358
795,sam houston st.,1358
796,sam houston state,1358
797,sam-houston-st,1358
798,sam-houston-state,1358
799,samford,1359
800,san diego,1360
801,san diego st,1361
802,san diego st.,1361
803,san diego state,1361
804,san francisco,1362
805,san jose st,1363
806,san jose st.,1363
807,san jose state,1363
808,san-diego,1360
809,san-diego-st,1361
810,san-diego-state,1361
811,san-francisco,1362
812,san-jose-st,1363
813,san-jose-state,1363
814,santa barbara,1364
815,santa clara,1365
816,santa-clara,1365
817,savannah st,1366
818,savannah st.,1366
819,savannah state,1366
820,savannah-st,1366
821,savannah-state,1366
822,sc state,1354
823,sc upstate,1367
824,sd state,1361
825,se louisiana,1368
826,se missouri st,1369
827,se missouri st.,1369
828,se missouri st.(se,1369
829,se missouri state,1369
830,seattle,1370
831,seattle u,1370
832,seattle-u,1370
833,seton hall,1371
834,seton-hall,1371
835,sf austin,1372
836,sfa,1372
837,siena,1373
838,siu - edwardsville,1188
839,siu edwardsville,1188
840,siu-edwardsville,1188
841,siue,1188
842,sju (pa),1386
843,smu,1374
844,south ala.,1375
845,south alabama,1375
846,south carolina,1376
847,south carolina st.,1354
848,south carolina state,1354
849,south carolina upstat,1367
850,south carolina upstate,1367
851,south dakota,1377
852,south dakota st.,1355
853,south dakota state,1355
854,south fla.,1378
855,south florida,1378
856,south-ala,1375
857,south-alabama,1375
858,south-carolina,1376
859,south-carolina-st,1354
860,south-carolina-state,1354
861,south-carolina-upstate,1367
862,south-dakota,1377
863,south-dakota-st,1355
864,south-dakota-state,1355
865,south-fla,1378
866,south-florida,1378
867,southeast missouri state,1369
868,southeast mo. st.,1369
869,southeast-missouri-state,1369
870,southeast-mo-st,1369
871,southeastern la.,1368
872,southeastern louisiana,1368
873,southeastern-la,1368
874,southeastern-louisiana,1368
875,southern,1380
876,southern california,1425
877,southern ill.,1356
878,southern illinois,1356
879,southern illinois-edwardsville,1188
880,southern methodist,1374
881,southern miss,1379
882,southern miss.,1379
883,southern mississippi,1379
884,southern u,1380
885,southern u.,1380
886,southern un,1380
887,southern univ,1380
888,southern utah,1381
889,southern-california,1425
890,southern-ill,1356
891,southern-illinois,1356
892,southern-illinois-edwardsville,1188
893,southern-methodist,1374
894,southern-miss,1379
895,southern-mississippi,1379
896,southern-u,1380
897,southern-university,1380
898,southern-utah,1381
899,southwest missouri state,1283
900,st bonaventure,1382
901,st francis (ny),1383
902,st francis (pa),1384
903,st francis ny,1383
904,st francis pa,1384
905,st john's,1385
906,st john's (ny),1385
907,st joseph's,1386
908,st joseph's pa,1386
909,st louis,1387
910,st mary's (ca),1388
911,st mary's ca,1388
912,st peter's,1389
913,St Thomas MN,1472
914,st-bonaventure,1382
915,st-francis-brooklyn,1383
916,st-francis-ny,1383
917,st-francis-pa,1384
918,st-johns,1385
919,st-johns-ny,1385
920,st-josephs-pa,1386
921,st-marys-ca,1388
922,st-peters,1389
923,st. bonaventure,1382
924,st. francis (bkn),1383
925,st. francis (ny),1383
926,st. francis (pa),1384
927,st. francis brooklyn,1383
928,st. francis-ny,1383
929,st. john's,1385
930,st. john's (ny),1385
931,st. john`s (ny),1385
932,st. johns,1385
933,st. joseph's,1386
934,st. joseph's pa,1386
935,st. mary's,1388
936,st. mary`s (ca),1388
937,st. peter's,1389
938,stanford,1390
939,stephen f. austin,1372
940,stephen-f-austin,1372
941,stetson,1391
942,stony brook,1392
943,stony-brook,1392
944,suny albany,1107
945,sw missouri st.,1283
946,syracuse,1393
947,tam c,1394
948,tam c. christi,1394
949,tarleton st,1470
950,Tarleton State,1470
951,tcu,1395
952,temple,1396
953,tenn-martin,1404
954,tennessee,1397
955,tennessee st,1398
956,tennessee st.,1398
957,tennessee state,1398
958,tennessee tech,1399
959,tennessee-chattanooga,1151
960,tennessee-martin,1404
961,tennessee-st,1398
962,tennessee-state,1398
963,tennessee-tech,1399
964,tex.-pan american,1410
965,texas,1400
966,texas a&m,1401
967,texas a&m cc,1394
968,texas a&m corpus,1394
969,texas a&m-cc,1394
970,texas a&m-corpus christi,1394
971,texas arlington,1426
972,texas christian,1395
973,texas rio grande valley,1410
974,texas san antonio,1427
975,texas southern,1411
976,texas st,1402
977,texas st.,1402
978,texas state,1402
979,texas tech,1403
980,texas-am,1401
981,texas-am-corpus-christi,1394
982,texas-arlington,1426
983,texas-christian,1395
984,texas-el paso,1431
985,texas-el-paso,1431
986,texas-pan american,1410
987,texas-pan-american,1410
988,texas-rio grande valley,1410
989,texas-san antonio,1427
990,texas-san antonio(ut,1427
991,texas-san-antonio,1427
992,texas-southern,1411
993,texas-st,1402
994,texas-state,1402
995,texas-tech,1403
996,texasa&m,1401
997,the citadel,1154
998,the-citadel,1154
999,tn martin,1404
1000,toledo,1405
1001,towson,1406
1002,troy,1407
1003,troy st.,1407
1004,tulane,1408
1005,tulsa,1409
1006,tx pan american,1410
1007,tx southern,1411
1008,uab,1412
1009,ualr,1114
1010,uc davis,1413
1011,uc irvine,1414
1012,uc riverside,1415
1013,uc san diego,1471
1014,uc santa barb.,1364
1015,uc santa barbara,1364
1016,uc-davis,1413
1017,uc-irvine,1414
1018,uc-riverside,1415
1019,uc-santa barbara,1364
1020,uc-santa-barbara,1364
1021,ucf,1416
1022,ucla,1417
1023,uconn,1163
1024,ucsb,1364
1025,uic,1227
1026,ull,1418
1027,ulm,1419
1028,umass,1269
1029,umass lowell,1262
1030,umass-lowell,1262
1031,umbc,1420
1032,umes,1271
1033,umkc,1282
1034,unc,1314
1035,unc asheville,1421
1036,unc greensboro,1422
1037,unc wilmington,1423
1038,unc-asheville,1421
1039,uncg,1422
1040,uncw,1423
1041,uni,1320
1042,university of california,1143
1043,unlv,1424
1044,usc,1425
1045,usc upstate,1367
1046,usc-upstate,1367
