Team,Region,Power rating,1st,2nd,Sweet 16,Elite 8,Final 4,Champ.,Win
Kansas 1,South,94.5,√,99%,86%,69%,45%,32%,19%
UNC 1,East,93.9,√,99%,91%,61%,44%,26%,15%
Virginia 1,Midwest,92.5,√,98%,80%,52%,30%,17%,10%
Michigan St. 2,Midwest,91.8,√,95%,78%,59%,34%,17%,9%
Oklahoma 2,West,90,√,96%,82%,53%,32%,14%,7%
Villanova 2,South,91.3,√,96%,77%,47%,22%,13%,6%
Kentucky 4,East,90.7,√,93%,61%,25%,16%,8%,4%
W. Virginia 3,East,89.3,√,85%,63%,40%,16%,7%,3%
Purdue 5,Midwest,88.7,√,84%,52%,24%,13%,6%,3%
Oregon 1,West,88,√,98%,72%,44%,23%,7%,3%
Texas A&M 3,West,86.8,√,88%,55%,24%,12%,5%,2%
Arizona 6,South,89,√,53%,33%,15%,6%,4%,2%
Xavier 2,East,87.7,√,94%,60%,29%,10%,4%,2%
Duke 4,West,87.3,√,85%,54%,26%,12%,4%,2%
Maryland 5,South,87.4,√,79%,46%,14%,7%,3%,1%
Indiana 5,East,87.4,√,88%,36%,11%,6%,3%,1%
Miami 3,South,87.1,√,86%,37%,14%,5%,3%,1%
Iowa State 4,Midwest,86.5,√,84%,40%,15%,6%,3%,1%
Baylor 5,West,85.5,√,61%,27%,13%,6%,2%,1%
Texas 6,West,84.7,√,70%,33%,13%,6%,2%,0.90%
Utah 3,Midwest,86.6,√,87%,50%,15%,5%,2%,0.80%
Wichita St. 11,South,86.6,51%,24%,14%,7%,3%,2%,0.70%
Iowa 7,South,85.9,√,72%,19%,9%,3%,2%,0.60%
Vanderbilt 11,South,85.6,49%,23%,13%,6%,3%,1%,0.60%
California 4,South,85.6,√,83%,43%,9%,3%,1%,0.50%
Gonzaga 11,Midwest,86,√,60%,31%,9%,3%,1%,0.50%
Wisconsin 7,East,84.8,√,63%,27%,11%,3%,1%,0.40%
Notre Dame 6,East,84.4,√,66%,22%,10%,3%,0.90%,0.30%
UConn 9,South,85.3,√,64%,10%,5%,2%,0.90%,0.30%
Cincinnati 9,West,83.7,√,61%,18%,8%,3%,0.90%,0.30%
Butler 9,Midwest,84.2,√,67%,15%,6%,2%,0.80%,0.30%
Seton Hall 6,Midwest,84.5,√,40%,17%,5%,2%,0.60%,0.20%
VCU 10,West,83.1,√,73%,14%,6%,2%,0.60%,0.20%
Dayton 7,Midwest,82.4,√,52%,11%,5%,2%,0.40%,0.10%
Syracuse 10,Midwest,82.7,√,48%,10%,4%,1%,0.40%,0.10%
Pittsburgh 10,East,82.3,√,37%,13%,5%,1%,0.40%,0.10%
St. Joseph's 8,West,81.6,√,39%,9%,4%,1%,0.30%,<0.1%
Providence 9,East,82.5,√,62%,6%,2%,0.80%,0.20%,<0.1%
N. Iowa 11,West,80.2,√,30%,10%,3%,0.80%,0.20%,<0.1%
Colorado 8,South,81.5,√,36%,4%,2%,0.40%,0.20%,<0.1%
SF Austin 14,East,81,√,15%,6%,2%,0.40%,0.10%,<0.1%
Yale 12,West,80.2,√,39%,14%,4%,1%,0.20%,<0.1%
Texas Tech 8,Midwest,81.3,√,33%,5%,1%,0.40%,0.10%,<0.1%
Tulsa 11,East,79.9,46%,15%,4%,1%,0.20%,<0.1%,<0.1%
Michigan 11,East,79.6,54%,19%,5%,2%,0.30%,<0.1%,<0.1%
USC 8,East,81.4,√,38%,3%,0.60%,0.20%,<0.1%,<0.1%
Ark.-LR 12,Midwest,78.9,√,16%,5%,0.80%,0.20%,<0.1%,<0.1%
S. Dakota St. 12,South,78.6,√,21%,7%,0.80%,0.20%,<0.1%,<0.1%
Temple 10,South,78.5,√,28%,4%,0.90%,0.20%,<0.1%,<0.1%
UNC-Wilm. 13,West,77.7,√,15%,5%,1%,0.20%,<0.1%,<0.1%
Oregon St. 7,West,77.6,√,27%,3%,0.80%,0.20%,<0.1%,<0.1%
Iona 13,Midwest,78.2,√,16%,3%,0.50%,0.10%,<0.1%,<0.1%
Green Bay 14,West,76.2,√,12%,3%,0.50%,<0.1%,<0.1%,<0.1%
Stony Brook 13,East,77.1,√,7%,2%,0.20%,<0.1%,<0.1%,<0.1%
Hawaii 13,South,78,√,17%,4%,0.30%,<0.1%,<0.1%,<0.1%
Chatt. 12,East,76.6,√,12%,2%,0.20%,<0.1%,<0.1%,<0.1%
Fresno State 14,Midwest,76.6,√,13%,3%,0.30%,<0.1%,<0.1%,<0.1%
Buffalo 14,South,75.7,√,14%,2%,0.30%,<0.1%,<0.1%,<0.1%
CSU Bakers. 15,West,75,√,4%,1%,0.30%,<0.1%,<0.1%,<0.1%
Mid. Tenn. 15,Midwest,75,√,5%,1%,0.30%,<0.1%,<0.1%,<0.1%
UNC-Ash. 15,South,74.2,√,4%,0.70%,0.10%,<0.1%,<0.1%,<0.1%
Weber State 15,East,73.3,√,6%,0.80%,<0.1%,<0.1%,<0.1%,<0.1%
FGCU 16,East,71.4,67%,0.90%,0.20%,<0.1%,<0.1%,<0.1%,<0.1%
Austin Peay 16,South,68.8,√,1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%
Southern 16,West,68,52%,1%,0.10%,<0.1%,<0.1%,<0.1%,<0.1%
Hampton 16,Midwest,68.6,√,2%,0.20%,<0.1%,<0.1%,<0.1%,<0.1%
Holy Cross 16,West,66.8,48%,1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%
F. Dickinson 16,East,66.7,33%,0.20%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%
